trace_id,mutation_id,decision_seq,decision_offset_ms,forecast_target_offset_ms,oracle_rps,forecast_rps,oracle_raw_replicas,forecast_raw_replicas,oracle_commanded_replicas,forecast_commanded_replicas,forecast_action,forecast_scale_down_held
sustained-peak-v1,sustained-peak-v1__overprediction__5rps,0,0,6000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__overprediction__5rps,1,1000,7000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__overprediction__5rps,2,2000,8000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__overprediction__5rps,3,3000,9000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__overprediction__5rps,4,4000,10000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__overprediction__5rps,5,5000,11000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__overprediction__5rps,6,6000,12000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__overprediction__5rps,7,7000,13000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__overprediction__5rps,8,8000,14000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__overprediction__5rps,9,9000,15000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__overprediction__5rps,10,10000,16000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__overprediction__5rps,11,11000,17000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__overprediction__5rps,12,12000,18000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__overprediction__5rps,13,13000,19000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__overprediction__5rps,14,14000,20000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__overprediction__5rps,15,15000,21000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__overprediction__5rps,16,16000,22000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__overprediction__5rps,17,17000,23000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__overprediction__5rps,18,18000,24000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__overprediction__5rps,19,19000,25000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__overprediction__5rps,20,20000,26000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__overprediction__5rps,21,21000,27000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__overprediction__5rps,22,22000,28000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__overprediction__5rps,23,23000,29000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__overprediction__5rps,24,24000,30000,25.000000,25.000000,1,1,1,1,none,false
sustained-peak-v1,sustained-peak-v1__overprediction__5rps,25,25000,31000,25.000000,25.000000,1,1,1,1,none,false
