trace_id,policy_id,decision_seq,decision_offset_ms,forecast_issued_offset_ms,forecast_target_offset_ms,horizon_ms,true_current_workload_rps,true_future_workload_rps,terminal_extension,safety_factor,safety_adjusted_workload_rps,raw_replicas,bounded_replicas,stabilized_replicas,prior_commanded_replicas,commanded_replicas,action,scale_down_held,reference_type
sustained-peak-v1,anfa-empirical-replica-policy-v1,0,0,0,6000,6000,25.000000,25.000000,false,1.000000,25.000000,1,1,1,1,1,none,false,oracle_desired_policy
sustained-peak-v1,anfa-empirical-replica-policy-v1,1,1000,1000,7000,6000,25.000000,25.000000,false,1.000000,25.000000,1,1,1,1,1,none,false,oracle_desired_policy
sustained-peak-v1,anfa-empirical-replica-policy-v1,2,2000,2000,8000,6000,25.000000,25.000000,false,1.000000,25.000000,1,1,1,1,1,none,false,oracle_desired_policy
sustained-peak-v1,anfa-empirical-replica-policy-v1,3,3000,3000,9000,6000,25.000000,25.000000,false,1.000000,25.000000,1,1,1,1,1,none,false,oracle_desired_policy
sustained-peak-v1,anfa-empirical-replica-policy-v1,4,4000,4000,10000,6000,25.000000,25.000000,false,1.000000,25.000000,1,1,1,1,1,none,false,oracle_desired_policy
sustained-peak-v1,anfa-empirical-replica-policy-v1,5,5000,5000,11000,6000,25.000000,25.000000,false,1.000000,25.000000,1,1,1,1,1,none,false,oracle_desired_policy
sustained-peak-v1,anfa-empirical-replica-policy-v1,6,6000,6000,12000,6000,25.000000,25.000000,false,1.000000,25.000000,1,1,1,1,1,none,false,oracle_desired_policy
sustained-peak-v1,anfa-empirical-replica-policy-v1,7,7000,7000,13000,6000,25.000000,25.000000,false,1.000000,25.000000,1,1,1,1,1,none,false,oracle_desired_policy
sustained-peak-v1,anfa-empirical-replica-policy-v1,8,8000,8000,14000,6000,25.000000,25.000000,false,1.000000,25.000000,1,1,1,1,1,none,false,oracle_desired_policy
sustained-peak-v1,anfa-empirical-replica-policy-v1,9,9000,9000,15000,6000,25.000000,25.000000,false,1.000000,25.000000,1,1,1,1,1,none,false,oracle_desired_policy
sustained-peak-v1,anfa-empirical-replica-policy-v1,10,10000,10000,16000,6000,25.000000,25.000000,false,1.000000,25.000000,1,1,1,1,1,none,false,oracle_desired_policy
sustained-peak-v1,anfa-empirical-replica-policy-v1,11,11000,11000,17000,6000,25.000000,25.000000,false,1.000000,25.000000,1,1,1,1,1,none,false,oracle_desired_policy
sustained-peak-v1,anfa-empirical-replica-policy-v1,12,12000,12000,18000,6000,25.000000,25.000000,false,1.000000,25.000000,1,1,1,1,1,none,false,oracle_desired_policy
sustained-peak-v1,anfa-empirical-replica-policy-v1,13,13000,13000,19000,6000,25.000000,25.000000,false,1.000000,25.000000,1,1,1,1,1,none,false,oracle_desired_policy
sustained-peak-v1,anfa-empirical-replica-policy-v1,14,14000,14000,20000,6000,25.000000,25.000000,false,1.000000,25.000000,1,1,1,1,1,none,false,oracle_desired_policy
sustained-peak-v1,anfa-empirical-replica-policy-v1,15,15000,15000,21000,6000,25.000000,25.000000,false,1.000000,25.000000,1,1,1,1,1,none,false,oracle_desired_policy
sustained-peak-v1,anfa-empirical-replica-policy-v1,16,16000,16000,22000,6000,25.000000,25.000000,false,1.000000,25.000000,1,1,1,1,1,none,false,oracle_desired_policy
sustained-peak-v1,anfa-empirical-replica-policy-v1,17,17000,17000,23000,6000,25.000000,25.000000,false,1.000000,25.000000,1,1,1,1,1,none,false,oracle_desired_policy
sustained-peak-v1,anfa-empirical-replica-policy-v1,18,18000,18000,24000,6000,25.000000,25.000000,false,1.000000,25.000000,1,1,1,1,1,none,false,oracle_desired_policy
sustained-peak-v1,anfa-empirical-replica-policy-v1,19,19000,19000,25000,6000,25.000000,25.000000,false,1.000000,25.000000,1,1,1,1,1,none,false,oracle_desired_policy
sustained-peak-v1,anfa-empirical-replica-policy-v1,20,20000,20000,26000,6000,25.000000,25.000000,false,1.000000,25.000000,1,1,1,1,1,none,false,oracle_desired_policy
sustained-peak-v1,anfa-empirical-replica-policy-v1,21,21000,21000,27000,6000,25.000000,25.000000,false,1.000000,25.000000,1,1,1,1,1,none,false,oracle_desired_policy
sustained-peak-v1,anfa-empirical-replica-policy-v1,22,22000,22000,28000,6000,25.000000,25.000000,false,1.000000,25.000000,1,1,1,1,1,none,false,oracle_desired_policy
sustained-peak-v1,anfa-empirical-replica-policy-v1,23,23000,23000,29000,6000,25.000000,25.000000,false,1.000000,25.000000,1,1,1,1,1,none,false,oracle_desired_policy
sustained-peak-v1,anfa-empirical-replica-policy-v1,24,24000,24000,30000,6000,25.000000,25.000000,false,1.000000,25.000000,1,1,1,1,1,none,false,oracle_desired_policy
sustained-peak-v1,anfa-empirical-replica-policy-v1,25,25000,25000,31000,6000,25.000000,25.000000,false,1.000000,25.000000,1,1,1,1,1,none,false,oracle_desired_policy
sustained-peak-v1,anfa-empirical-replica-policy-v1,26,26000,26000,32000,6000,25.000000,25.000000,false,1.000000,25.000000,1,1,1,1,1,none,false,oracle_desired_policy
sustained-peak-v1,anfa-empirical-replica-policy-v1,27,27000,27000,33000,6000,25.000000,25.000000,false,1.000000,25.000000,1,1,1,1,1,none,false,oracle_desired_policy
sustained-peak-v1,anfa-empirical-replica-policy-v1,28,28000,28000,34000,6000,25.000000,25.000000,false,1.000000,25.000000,1,1,1,1,1,none,false,oracle_desired_policy
sustained-peak-v1,anfa-empirical-replica-policy-v1,29,29000,29000,35000,6000,25.000000,25.000000,false,1.000000,25.000000,1,1,1,1,1,none,false,oracle_desired_policy
sustained-peak-v1,anfa-empirical-replica-policy-v1,30,30000,30000,36000,6000,25.000000,25.000000,false,1.000000,25.000000,1,1,1,1,1,none,false,oracle_desired_policy
sustained-peak-v1,anfa-empirical-replica-policy-v1,31,31000,31000,37000,6000,25.000000,25.000000,false,1.000000,25.000000,1,1,1,1,1,none,false,oracle_desired_policy
sustained-peak-v1,anfa-empirical-replica-policy-v1,32,32000,32000,38000,6000,25.000000,25.000000,false,1.000000,25.000000,1,1,1,1,1,none,false,oracle_desired_policy
sustained-peak-v1,anfa-empirical-replica-policy-v1,33,33000,33000,39000,6000,25.000000,25.000000,false,1.000000,25.000000,1,1,1,1,1,none,false,oracle_desired_policy
