run_id,phase,pair_id,condition_side,forecast_condition,forecast_id,workload_id,repetition,safety_enabled,workload_duration_s,collection_duration_s,planned_wall_duration_s,workload_path,workload_sha256,forecast_path,forecast_sha256,oracle_path,oracle_sha256,status,attempt,randomization_block,sequence,step15_sequence,campaign_status,valid_attempt
final-p06-a-r01-s0,primary,pair-06-timing_periodic,a,early_event,periodic-triangle-v1__timing_periodic__early__shift_s--15,periodic-triangle-v1,1,false,720,840,990,outputs/step-7-workload-suite-v1.0.0/request-schedules/periodic-triangle-v1.requests.csv,267d755f809e491a11491bb3a5ddd8dc50ab3719e9280f0ddeb194a1cb96f691,outputs/step-12-accuracy-matched-forecasts-v1.0.0/accepted-pairs/pair-06-timing_periodic/forecast-a.csv,d20e2ca8dd79220f6cb5e9d70808cbf2dcc9ea8b0f7de7f1e75239636cb66788,outputs/step-8-oracle-reference-v1.0.0/timelines/periodic-triangle-v1.oracle-decisions.csv,9257539f952f4e0841b84af5ad9b69f2be56f0c17dd51b01338ae1204edaab41,planned,1,1,12,11,pending,
final-oracle-ramp-r01-s0,reference,reference-oracle,reference,oracle,gradual-ramp-v1__oracle,gradual-ramp-v1,1,false,480,600,750,outputs/step-7-workload-suite-v1.0.0/request-schedules/gradual-ramp-v1.requests.csv,ecda513b494acab4bf179b99f9899ac00a12c7f89b8ed2c0a5fa55170ebff3b0,outputs/step-9-predictive-autoscaler-v1.0.0/testdata/forecasts/gradual-ramp-v1.oracle-forecast.csv,fc89cbab7d3579fbdd8170d877e36b5d04cdd1948ef9d8544c88c964a8fdaf32,outputs/step-8-oracle-reference-v1.0.0/timelines/gradual-ramp-v1.oracle-decisions.csv,05e9f954806e6a885af2661e3fea3a349678f440c6c90415ba332eba177d1065,planned,1,1,13,12,pending,
final-p01-b-r01-s0,primary,pair-01-direction_bias,b,persistent_positive_bias,sustained-peak-v1__direction_bias__positive__bias_rps-5-magnitude_rps-5,sustained-peak-v1,1,false,360,480,630,outputs/step-7-workload-suite-v1.0.0/request-schedules/sustained-peak-v1.requests.csv,13dab5b5562c63df0c9d61370360f6dde33b1476ccf4d35076715f8e3a8bbbb2,outputs/step-12-accuracy-matched-forecasts-v1.0.0/accepted-pairs/pair-01-direction_bias/forecast-b.csv,513c3543e3a310f59e6b60b7e7633243f0185ae5909a82e5ba6c7ad23fd6340d,outputs/step-8-oracle-reference-v1.0.0/timelines/sustained-peak-v1.oracle-decisions.csv,6969acf9e1524538d50c7516807f0c19959d319da5472149c8dce6cd3b6677fb,planned,1,1,14,13,pending,
final-p06-b-r01-s0,primary,pair-06-timing_periodic,b,late_event,periodic-triangle-v1__timing_periodic__late__shift_s-15,periodic-triangle-v1,1,false,720,840,990,outputs/step-7-workload-suite-v1.0.0/request-schedules/periodic-triangle-v1.requests.csv,267d755f809e491a11491bb3a5ddd8dc50ab3719e9280f0ddeb194a1cb96f691,outputs/step-12-accuracy-matched-forecasts-v1.0.0/accepted-pairs/pair-06-timing_periodic/forecast-b.csv,b414227617488b3fee5df7f4295f697fc2aa259fb3c135862c669f124a118e0f,outputs/step-8-oracle-reference-v1.0.0/timelines/periodic-triangle-v1.oracle-decisions.csv,9257539f952f4e0841b84af5ad9b69f2be56f0c17dd51b01338ae1204edaab41,planned,1,1,15,14,pending,
final-oracle-periodic-r01-s0,reference,reference-oracle,reference,oracle,periodic-triangle-v1__oracle,periodic-triangle-v1,1,false,720,840,990,outputs/step-7-workload-suite-v1.0.0/request-schedules/periodic-triangle-v1.requests.csv,267d755f809e491a11491bb3a5ddd8dc50ab3719e9280f0ddeb194a1cb96f691,outputs/step-9-predictive-autoscaler-v1.0.0/testdata/forecasts/periodic-triangle-v1.oracle-forecast.csv,07dfb960809f21fc663d43f2f72717abd9118ac9b52a9d6435b62e043c0fb305,outputs/step-8-oracle-reference-v1.0.0/timelines/periodic-triangle-v1.oracle-decisions.csv,9257539f952f4e0841b84af5ad9b69f2be56f0c17dd51b01338ae1204edaab41,planned,1,1,16,15,pending,
final-p04-b-r01-s0,primary,pair-04-location,b,transition_period_error,gradual-ramp-v1__location__transition__duration_s-60-magnitude_rps-8-start_s-60,gradual-ramp-v1,1,false,480,600,750,outputs/step-7-workload-suite-v1.0.0/request-schedules/gradual-ramp-v1.requests.csv,ecda513b494acab4bf179b99f9899ac00a12c7f89b8ed2c0a5fa55170ebff3b0,outputs/step-12-accuracy-matched-forecasts-v1.0.0/accepted-pairs/pair-04-location/forecast-b.csv,13f2537a27d927da4f509b37a2f4f68d12b3691657175f81a2f2d718de61bd2a,outputs/step-8-oracle-reference-v1.0.0/timelines/gradual-ramp-v1.oracle-decisions.csv,05e9f954806e6a885af2661e3fea3a349678f440c6c90415ba332eba177d1065,planned,1,1,17,16,pending,
final-p05-a-r01-s0,primary,pair-05-shape,a,sharpened,periodic-triangle-v1__shape__sharpened__radius_s-10,periodic-triangle-v1,1,false,720,840,990,outputs/step-7-workload-suite-v1.0.0/request-schedules/periodic-triangle-v1.requests.csv,267d755f809e491a11491bb3a5ddd8dc50ab3719e9280f0ddeb194a1cb96f691,outputs/step-12-accuracy-matched-forecasts-v1.0.0/accepted-pairs/pair-05-shape/forecast-a.csv,858dd850ccfa96a23395944a6409c48fc81e9f9c2273a90c9c3853b6fb28847a,outputs/step-8-oracle-reference-v1.0.0/timelines/periodic-triangle-v1.oracle-decisions.csv,9257539f952f4e0841b84af5ad9b69f2be56f0c17dd51b01338ae1204edaab41,planned,1,1,19,17,pending,
final-p07-a-r01-s0,primary,pair-07-timing_spike,a,early_event,narrow-spike-v1__timing_spike__early__shift_s--10,narrow-spike-v1,1,false,180,300,450,outputs/step-7-workload-suite-v1.0.0/request-schedules/narrow-spike-v1.requests.csv,51a9e7de7225be8d4febf7122bfc7d9d649731bd4f116a38652dd119a0407a99,outputs/step-12-accuracy-matched-forecasts-v1.0.0/accepted-pairs/pair-07-timing_spike/forecast-a.csv,7a2bea516c4bc1455f6143d26d7fefa437b7d77d40b395a7f60c491fb085557b,outputs/step-8-oracle-reference-v1.0.0/timelines/narrow-spike-v1.oracle-decisions.csv,90fc482796a8b9a68fc06654f994eb54f9c2fcaa5f29cec8548e922fba50396f,planned,1,1,20,18,pending,
final-p03-b-r02-s0,primary,pair-03-event_presence,b,missed_peak,narrow-spike-v1__event_presence__missed__duration_s-30-magnitude_rps-35,narrow-spike-v1,2,false,180,300,450,outputs/step-7-workload-suite-v1.0.0/request-schedules/narrow-spike-v1.requests.csv,51a9e7de7225be8d4febf7122bfc7d9d649731bd4f116a38652dd119a0407a99,outputs/step-12-accuracy-matched-forecasts-v1.0.0/accepted-pairs/pair-03-event_presence/forecast-b.csv,0e335e9baa6471aa234c1c9baf99ccbf0f88e4edc5c96decf2a9a22c73bf655d,outputs/step-8-oracle-reference-v1.0.0/timelines/narrow-spike-v1.oracle-decisions.csv,90fc482796a8b9a68fc06654f994eb54f9c2fcaa5f29cec8548e922fba50396f,planned,1,2,21,19,pending,
final-p07-b-r02-s0,primary,pair-07-timing_spike,b,late_event,narrow-spike-v1__timing_spike__late__shift_s-10,narrow-spike-v1,2,false,180,300,450,outputs/step-7-workload-suite-v1.0.0/request-schedules/narrow-spike-v1.requests.csv,51a9e7de7225be8d4febf7122bfc7d9d649731bd4f116a38652dd119a0407a99,outputs/step-12-accuracy-matched-forecasts-v1.0.0/accepted-pairs/pair-07-timing_spike/forecast-b.csv,dce448a7f3ceda45fedad20c977bd0ee37e3571b99e7dc789bd3eb21cf295fce,outputs/step-8-oracle-reference-v1.0.0/timelines/narrow-spike-v1.oracle-decisions.csv,90fc482796a8b9a68fc06654f994eb54f9c2fcaa5f29cec8548e922fba50396f,planned,1,2,22,20,pending,
final-p03-a-r02-s0,primary,pair-03-event_presence,a,false_peak,narrow-spike-v1__event_presence__false__duration_s-30-magnitude_rps-35-peak_rps-60,narrow-spike-v1,2,false,180,300,450,outputs/step-7-workload-suite-v1.0.0/request-schedules/narrow-spike-v1.requests.csv,51a9e7de7225be8d4febf7122bfc7d9d649731bd4f116a38652dd119a0407a99,outputs/step-12-accuracy-matched-forecasts-v1.0.0/accepted-pairs/pair-03-event_presence/forecast-a.csv,73a2811839f37535ed671911e0683e1d7b93aad722aad7ca62eb0995b8cfba4d,outputs/step-8-oracle-reference-v1.0.0/timelines/narrow-spike-v1.oracle-decisions.csv,90fc482796a8b9a68fc06654f994eb54f9c2fcaa5f29cec8548e922fba50396f,planned,1,2,23,21,pending,
final-p07-a-r02-s0,primary,pair-07-timing_spike,a,early_event,narrow-spike-v1__timing_spike__early__shift_s--10,narrow-spike-v1,2,false,180,300,450,outputs/step-7-workload-suite-v1.0.0/request-schedules/narrow-spike-v1.requests.csv,51a9e7de7225be8d4febf7122bfc7d9d649731bd4f116a38652dd119a0407a99,outputs/step-12-accuracy-matched-forecasts-v1.0.0/accepted-pairs/pair-07-timing_spike/forecast-a.csv,7a2bea516c4bc1455f6143d26d7fefa437b7d77d40b395a7f60c491fb085557b,outputs/step-8-oracle-reference-v1.0.0/timelines/narrow-spike-v1.oracle-decisions.csv,90fc482796a8b9a68fc06654f994eb54f9c2fcaa5f29cec8548e922fba50396f,planned,1,2,25,22,pending,
final-p04-a-r02-s0,primary,pair-04-location,a,stable_period_error,gradual-ramp-v1__location__stable__duration_s-60-magnitude_rps-8-start_s-420,gradual-ramp-v1,2,false,480,600,750,outputs/step-7-workload-suite-v1.0.0/request-schedules/gradual-ramp-v1.requests.csv,ecda513b494acab4bf179b99f9899ac00a12c7f89b8ed2c0a5fa55170ebff3b0,outputs/step-12-accuracy-matched-forecasts-v1.0.0/accepted-pairs/pair-04-location/forecast-a.csv,6896b73fa4c300b0c460fd6cb8c8740a7f14baaa639df1b7f9bd256ca72bd2bf,outputs/step-8-oracle-reference-v1.0.0/timelines/gradual-ramp-v1.oracle-decisions.csv,05e9f954806e6a885af2661e3fea3a349678f440c6c90415ba332eba177d1065,planned,1,2,26,23,pending,
final-p05-b-r02-s0,primary,pair-05-shape,b,smoothed,periodic-triangle-v1__shape__smoothed__radius_s-10,periodic-triangle-v1,2,false,720,840,990,outputs/step-7-workload-suite-v1.0.0/request-schedules/periodic-triangle-v1.requests.csv,267d755f809e491a11491bb3a5ddd8dc50ab3719e9280f0ddeb194a1cb96f691,outputs/step-12-accuracy-matched-forecasts-v1.0.0/accepted-pairs/pair-05-shape/forecast-b.csv,a7d985eabc0eef4595d35a32ec644eb28be6ba97010666f695218653caa7d16a,outputs/step-8-oracle-reference-v1.0.0/timelines/periodic-triangle-v1.oracle-decisions.csv,9257539f952f4e0841b84af5ad9b69f2be56f0c17dd51b01338ae1204edaab41,planned,1,2,27,24,pending,
final-p06-b-r02-s0,primary,pair-06-timing_periodic,b,late_event,periodic-triangle-v1__timing_periodic__late__shift_s-15,periodic-triangle-v1,2,false,720,840,990,outputs/step-7-workload-suite-v1.0.0/request-schedules/periodic-triangle-v1.requests.csv,267d755f809e491a11491bb3a5ddd8dc50ab3719e9280f0ddeb194a1cb96f691,outputs/step-12-accuracy-matched-forecasts-v1.0.0/accepted-pairs/pair-06-timing_periodic/forecast-b.csv,b414227617488b3fee5df7f4295f697fc2aa259fb3c135862c669f124a118e0f,outputs/step-8-oracle-reference-v1.0.0/timelines/periodic-triangle-v1.oracle-decisions.csv,9257539f952f4e0841b84af5ad9b69f2be56f0c17dd51b01338ae1204edaab41,planned,1,2,28,25,pending,
final-p01-b-r02-s0,primary,pair-01-direction_bias,b,persistent_positive_bias,sustained-peak-v1__direction_bias__positive__bias_rps-5-magnitude_rps-5,sustained-peak-v1,2,false,360,480,630,outputs/step-7-workload-suite-v1.0.0/request-schedules/sustained-peak-v1.requests.csv,13dab5b5562c63df0c9d61370360f6dde33b1476ccf4d35076715f8e3a8bbbb2,outputs/step-12-accuracy-matched-forecasts-v1.0.0/accepted-pairs/pair-01-direction_bias/forecast-b.csv,513c3543e3a310f59e6b60b7e7633243f0185ae5909a82e5ba6c7ad23fd6340d,outputs/step-8-oracle-reference-v1.0.0/timelines/sustained-peak-v1.oracle-decisions.csv,6969acf9e1524538d50c7516807f0c19959d319da5472149c8dce6cd3b6677fb,planned,1,2,29,26,pending,
final-oracle-ramp-r02-s0,reference,reference-oracle,reference,oracle,gradual-ramp-v1__oracle,gradual-ramp-v1,2,false,480,600,750,outputs/step-7-workload-suite-v1.0.0/request-schedules/gradual-ramp-v1.requests.csv,ecda513b494acab4bf179b99f9899ac00a12c7f89b8ed2c0a5fa55170ebff3b0,outputs/step-9-predictive-autoscaler-v1.0.0/testdata/forecasts/gradual-ramp-v1.oracle-forecast.csv,fc89cbab7d3579fbdd8170d877e36b5d04cdd1948ef9d8544c88c964a8fdaf32,outputs/step-8-oracle-reference-v1.0.0/timelines/gradual-ramp-v1.oracle-decisions.csv,05e9f954806e6a885af2661e3fea3a349678f440c6c90415ba332eba177d1065,planned,1,2,30,27,pending,
final-p02-a-r02-s0,primary,pair-02-duration,a,extended_peak,sustained-peak-v1__duration__extended__duration_s-30,sustained-peak-v1,2,false,360,480,630,outputs/step-7-workload-suite-v1.0.0/request-schedules/sustained-peak-v1.requests.csv,13dab5b5562c63df0c9d61370360f6dde33b1476ccf4d35076715f8e3a8bbbb2,outputs/step-12-accuracy-matched-forecasts-v1.0.0/accepted-pairs/pair-02-duration/forecast-a.csv,3afdd36b51f5b1fb5ed0fc80932971791ce776494b16963b45c7bcbdb45ea3ee,outputs/step-8-oracle-reference-v1.0.0/timelines/sustained-peak-v1.oracle-decisions.csv,6969acf9e1524538d50c7516807f0c19959d319da5472149c8dce6cd3b6677fb,planned,1,2,31,28,pending,
final-p05-a-r02-s0,primary,pair-05-shape,a,sharpened,periodic-triangle-v1__shape__sharpened__radius_s-10,periodic-triangle-v1,2,false,720,840,990,outputs/step-7-workload-suite-v1.0.0/request-schedules/periodic-triangle-v1.requests.csv,267d755f809e491a11491bb3a5ddd8dc50ab3719e9280f0ddeb194a1cb96f691,outputs/step-12-accuracy-matched-forecasts-v1.0.0/accepted-pairs/pair-05-shape/forecast-a.csv,858dd850ccfa96a23395944a6409c48fc81e9f9c2273a90c9c3853b6fb28847a,outputs/step-8-oracle-reference-v1.0.0/timelines/periodic-triangle-v1.oracle-decisions.csv,9257539f952f4e0841b84af5ad9b69f2be56f0c17dd51b01338ae1204edaab41,planned,1,2,32,29,pending,
final-p01-a-r02-s0,primary,pair-01-direction_bias,a,persistent_negative_bias,sustained-peak-v1__direction_bias__negative__bias_rps--5-magnitude_rps-5,sustained-peak-v1,2,false,360,480,630,outputs/step-7-workload-suite-v1.0.0/request-schedules/sustained-peak-v1.requests.csv,13dab5b5562c63df0c9d61370360f6dde33b1476ccf4d35076715f8e3a8bbbb2,outputs/step-12-accuracy-matched-forecasts-v1.0.0/accepted-pairs/pair-01-direction_bias/forecast-a.csv,822ac625d4697b7ca57f8056de449b2f5fff01c827fd84e608f0a061e5d2bc5d,outputs/step-8-oracle-reference-v1.0.0/timelines/sustained-peak-v1.oracle-decisions.csv,6969acf9e1524538d50c7516807f0c19959d319da5472149c8dce6cd3b6677fb,planned,1,2,33,30,pending,
final-p06-a-r02-s0,primary,pair-06-timing_periodic,a,early_event,periodic-triangle-v1__timing_periodic__early__shift_s--15,periodic-triangle-v1,2,false,720,840,990,outputs/step-7-workload-suite-v1.0.0/request-schedules/periodic-triangle-v1.requests.csv,267d755f809e491a11491bb3a5ddd8dc50ab3719e9280f0ddeb194a1cb96f691,outputs/step-12-accuracy-matched-forecasts-v1.0.0/accepted-pairs/pair-06-timing_periodic/forecast-a.csv,d20e2ca8dd79220f6cb5e9d70808cbf2dcc9ea8b0f7de7f1e75239636cb66788,outputs/step-8-oracle-reference-v1.0.0/timelines/periodic-triangle-v1.oracle-decisions.csv,9257539f952f4e0841b84af5ad9b69f2be56f0c17dd51b01338ae1204edaab41,planned,1,2,34,31,pending,
final-oracle-sustain-r02-s0,reference,reference-oracle,reference,oracle,sustained-peak-v1__oracle,sustained-peak-v1,2,false,360,480,630,outputs/step-7-workload-suite-v1.0.0/request-schedules/sustained-peak-v1.requests.csv,13dab5b5562c63df0c9d61370360f6dde33b1476ccf4d35076715f8e3a8bbbb2,outputs/step-9-predictive-autoscaler-v1.0.0/testdata/forecasts/sustained-peak-v1.oracle-forecast.csv,676d9a07f7f3c98bf7526b195423217b2f7da0feceae0f518f52c1d8392398f0,outputs/step-8-oracle-reference-v1.0.0/timelines/sustained-peak-v1.oracle-decisions.csv,6969acf9e1524538d50c7516807f0c19959d319da5472149c8dce6cd3b6677fb,planned,1,2,35,32,pending,
final-oracle-periodic-r02-s0,reference,reference-oracle,reference,oracle,periodic-triangle-v1__oracle,periodic-triangle-v1,2,false,720,840,990,outputs/step-7-workload-suite-v1.0.0/request-schedules/periodic-triangle-v1.requests.csv,267d755f809e491a11491bb3a5ddd8dc50ab3719e9280f0ddeb194a1cb96f691,outputs/step-9-predictive-autoscaler-v1.0.0/testdata/forecasts/periodic-triangle-v1.oracle-forecast.csv,07dfb960809f21fc663d43f2f72717abd9118ac9b52a9d6435b62e043c0fb305,outputs/step-8-oracle-reference-v1.0.0/timelines/periodic-triangle-v1.oracle-decisions.csv,9257539f952f4e0841b84af5ad9b69f2be56f0c17dd51b01338ae1204edaab41,planned,1,2,36,33,pending,
final-oracle-spike-r02-s0,reference,reference-oracle,reference,oracle,narrow-spike-v1__oracle,narrow-spike-v1,2,false,180,300,450,outputs/step-7-workload-suite-v1.0.0/request-schedules/narrow-spike-v1.requests.csv,51a9e7de7225be8d4febf7122bfc7d9d649731bd4f116a38652dd119a0407a99,outputs/step-9-predictive-autoscaler-v1.0.0/testdata/forecasts/narrow-spike-v1.oracle-forecast.csv,ab30633e9604b17154e1833c966e0a924f6480fb93b1cf4148b761e13fa3d0ea,outputs/step-8-oracle-reference-v1.0.0/timelines/narrow-spike-v1.oracle-decisions.csv,90fc482796a8b9a68fc06654f994eb54f9c2fcaa5f29cec8548e922fba50396f,planned,1,2,37,34,pending,
final-p02-b-r02-s0,primary,pair-02-duration,b,shortened_peak,sustained-peak-v1__duration__shortened__duration_s-30,sustained-peak-v1,2,false,360,480,630,outputs/step-7-workload-suite-v1.0.0/request-schedules/sustained-peak-v1.requests.csv,13dab5b5562c63df0c9d61370360f6dde33b1476ccf4d35076715f8e3a8bbbb2,outputs/step-12-accuracy-matched-forecasts-v1.0.0/accepted-pairs/pair-02-duration/forecast-b.csv,eaaa7161e9fc2d52b83b57c46a2e1fb7e79cbd9ddbd3e12e600e4fdac030292b,outputs/step-8-oracle-reference-v1.0.0/timelines/sustained-peak-v1.oracle-decisions.csv,6969acf9e1524538d50c7516807f0c19959d319da5472149c8dce6cd3b6677fb,planned,1,2,38,35,pending,
final-p04-b-r02-s0,primary,pair-04-location,b,transition_period_error,gradual-ramp-v1__location__transition__duration_s-60-magnitude_rps-8-start_s-60,gradual-ramp-v1,2,false,480,600,750,outputs/step-7-workload-suite-v1.0.0/request-schedules/gradual-ramp-v1.requests.csv,ecda513b494acab4bf179b99f9899ac00a12c7f89b8ed2c0a5fa55170ebff3b0,outputs/step-12-accuracy-matched-forecasts-v1.0.0/accepted-pairs/pair-04-location/forecast-b.csv,13f2537a27d927da4f509b37a2f4f68d12b3691657175f81a2f2d718de61bd2a,outputs/step-8-oracle-reference-v1.0.0/timelines/gradual-ramp-v1.oracle-decisions.csv,05e9f954806e6a885af2661e3fea3a349678f440c6c90415ba332eba177d1065,planned,1,2,40,36,pending,
